Sequence,BLAST,Pfam,Prosite,KEGG Pathway,NucPloc,Gene Ontology,Comments
ABO13834,multidrug transporter AcrB [Acinetobacter baumannii];WP_086435881;0.0,ACR_tran;PF00873.18;MMPL;PF03176.14,,,,,multidrug efflux transporter AcrB
ABO13835,Putative RND family cation/multidrug efflux pump [Acinetobacter baumannii ATCC 17978];ABO13835;0.0,ACR_tran;PF00873.18,,,,,RND(Resistance-Nodulation-Divison) multidruf efflux pump.  Catalyzes the active efflux of many antibiotics and chemotherapeutic agents
ABO13838,phosphoenolpyruvate carboxylase [Acinetobacter baumannii NCGM 237];BAN86015;0.0,PEPcase;PF00311.16;PEPcase_2;PF14010.5,PS00393;PEPCASE_2;PS00781;PEPCASE_1,,,GO:0008964,phosphoenolpyruvate carboxylase
ABO13839,pyrimidine utilization transport protein G [Acinetobacter baumannii];WP_071225628;1.01e-138,Xan_ur_permease;PF00860.19,,,,,uracil tranporter protein
ABO13840,uracil transport protein [Acinetobacter baumannii ABNIH10];EMU16427;6.60e-81,Xan_ur_permease;PF00860.19,,,,,uracil tranporter protein
ABO11399,NAD(P)-dependent oxidoreductase [Acinetobacter baumannii];WP_000926499;5.88e-176,adh_short_C2;PF13561.5;adh_short;PF00106.24;KR;PF08659.9,PS00061;ADH_SHORT,,,,NAD(P)-dependent oxidoreductase
ABO11404,MULTISPECIES: anion permease [Acinetobacter calcoaceticus/baumannii complex];WP_001087641;0.0,PHO4;PF01384.19,,,,,"belongs to family of phosphate transporters, shown to transfter inorganic anions.  "
ABS89903,Aluminum-activated malate transporter 1; Cell membrane; Complete proteome; Ion channel; Ion transport; Membrane; Phosphoprotein; Reference proteome; Transmembrane; Transmembrane helix; Transport,,,,,integral component of membrane [GO:0016021]; plant-type vacuole membrane [GO:0009705]; plasma membrane [GO:0005886]; malate transmembrane transporter activity [GO:0015140]; malate transmembrane transport [GO:0071423]; positive regulation of growth of symbiont involved in interaction with host [GO:0044148]; response to aluminum ion [GO:0010044],
ABS90175,Protein SYM1; Complete proteome; Membrane; Mitochondrion; Mitochondrion inner membrane; Reference proteome; Transmembrane; Transmembrane helix,,,,,integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743],
ABS90275,A-kinase anchor protein 6; Alternative splicing; Complete proteome; Membrane; Nucleus; Phosphoprotein; Polymorphism; Reference proteome; Repeat; Sarcoplasmic reticulum,FeoA domain; Domain of unknown function (DUF3368),TonB-dependent receptor proteins signature 1,,,calcium channel complex [GO:0034704]; caveola [GO:0005901]; cytoplasm [GO:0005737]; intercalated disc [GO:0014704]; junctional sarcoplasmic reticulum membrane [GO:0014701]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; perinuclear region of cytoplasm [GO:0048471]; sarcoplasmic reticulum [GO:0016529]; T-tubule [GO:0030315]; adenylate cyclase binding [GO:0008179]; ion channel binding [GO:0044325]; protein anchor [GO:0043495]; protein complex scaffold [GO:0032947]; protein kinase A binding [GO:0051018]; protein kinase A regulatory subunit binding [GO:0034237]; action potential [GO:0001508]; cAMP-mediated signaling [GO:0019933]; cellular response to cAMP [GO:0071320]; cellular response to cytokine stimulus [GO:0071345]; negative regulation of cAMP biosynthetic process [GO:0030818]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]; positive regulation of cell growth [GO:0030307]; positive regulation of cell growth involved in cardiac muscle cell development [GO:0061051]; positive regulation of delayed rectifier potassium channel activity [GO:1902261]; positive regulation of NFAT protein import into nucleus [GO:0051533]; positive regulation of phosphoprotein phosphatase activity [GO:0032516]; positive regulation of potassium ion transmembrane transport [GO:1901381]; positive regulation of release of sequestered calcium ion into cytosol [GO:0051281]; positive regulation of ryanodine-sensitive calcium-release channel activity [GO:0060316]; protein targeting [GO:0006605]; regulation of membrane repolarization [GO:0060306]; regulation of protein kinase A signaling [GO:0010738]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; transition metal ion binding [GO:0046914],
ABS90320,,,,,,,
ABS90321,,,,,,,
ABS89983,,,,,,,
ABS90009,,,,,,,
ABS90008,,,,,,,
ABS90281,,,,,,,
ABS89981,,,,,,,
ABS90287,"Alanine racemase, catabolic; Complete proteome; Direct protein sequencing; Isomerase; Pyridoxal phosphate; Reference proteome",,,,,alanine racemase activity [GO:0008784]; alanine metabolic process [GO:0006522],
ABS90014,Urease accessory protein UreG; Chaperone; Cytoplasm; GTP-binding; Nickel insertion; Nucleotide-binding,"CobW/HypB/UreG, nucleotide-binding domain; Poxvirus A32 protein; AAA domain; Zeta toxin",,,,cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; nickel cation binding [GO:0016151]; nitrogen compound metabolic process [GO:0006807]; ATP binding [GO:0005524]; kinase activity [GO:0016301],
ABS89984,,,,,,,
ABS90272,,,,,,,
ABS90015,,"Uncharacterised protein family UPF0542; Protein of unknown function (DUF2615); HemY protein N-terminus; ATP synthase protein 8; Super-infection exclusion protein B; Protein of unknown function (DUF2975); Cytochrome oxidase c assembly; Family of unknown function (DUF5305); Lipopolysaccharide assembly protein A domain; NfeD-like C-terminal, partner-binding; Oxaloacetate decarboxylase, gamma chain; Connexin; Chordopoxvirus A13L protein; Mycoplasma MFS transporter; Uncharacterized protein ycf70; Protein of unknown function (DUF3139); Ephrin type-A receptor 2 transmembrane domain; Preprotein translocase subunit; TMEM154 protein family; Acrosome formation-associated factor; Virus attachment protein p12 family; Heme exporter protein D (CcmD)",,,,"hydrogen ion transmembrane transporter activity [GO:0015078]; ATP synthesis coupled proton transport [GO:0015986]; mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; integral component of plasma membrane [GO:0005887]; oxaloacetate decarboxylase activity [GO:0008948]; sodium ion transmembrane transporter activity [GO:0015081]; sodium ion export [GO:0071436]; membrane [GO:0016020]; endocytosis [GO:0006897]; fusion of sperm to egg plasma membrane [GO:0007342]; acrosomal vesicle exocytosis [GO:0060478]; plasma membrane [GO:0005886]; heme transport [GO:0015886]; cytochrome complex assembly [GO:0017004]; integral component of membrane [GO:0016021]",
ABS89919,,,,,,,
ABS89951,,Domain of unknown function (DUF4163),,,,,
ABS90271,Glucose-6-phosphate isomerase; Complete proteome; Cytoplasm; Gluconeogenesis; Glycolysis; Isomerase; Reference proteome,Domain of unknown function (DUF4131),,,,cytoplasm [GO:0005737]; glucose-6-phosphate isomerase activity [GO:0004347]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096],
ABS90276,,TFIIH C1-like domain; Zinc ribbon domain; Uncharacterised protein family UPF0066; RNA polymerases M/15 Kd subunit; Transposase zinc-ribbon domain,,,,"zinc ion binding [GO:0008270]; DNA repair [GO:0006281]; transcription, DNA-templated [GO:0006351]",
ABS90277,,,,,,,
ABS90274,,,,,,,
ABS90174,,,,,,,
ABS90278,NADPH--cytochrome P450 reductase; Acetylation; Complete proteome; Endoplasmic reticulum; FAD; Flavoprotein; FMN; Membrane; NADP; Oxidoreductase; Phosphoprotein; Reference proteome; Transmembrane; Transmembrane helix,Protein of unknown function (DUF2564),,,,endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; FMN binding [GO:0010181]; NADPH-hemoprotein reductase activity [GO:0003958],
ABS90080,,,,,,,
ABS90176,,,,,,,
ABS90319,,MutS family domain IV,,,,ATP binding [GO:0005524]; mismatched DNA binding [GO:0030983]; mismatch repair [GO:0006298],
ABS90315,,,,,,,
ABS90314,,,,,,,
ABS90316,UPF0102 protein Ctha_1382; Complete proteome; Reference proteome,,,,,,
ABS90171,,,,,,,
ABS90173,UDP-3-O-acylglucosamine N-acyltransferase; Acyltransferase; Complete proteome; Lipid A biosynthesis; Lipid biosynthesis; Lipid metabolism; Repeat; Transferase,,,,,N-acyltransferase activity [GO:0016410]; lipid A biosynthetic process [GO:0009245],
ABS89972,,,,,,,
ABS90077,Protein translocase subunit SecA 1; ATP-binding; Cell membrane; Complete proteome; Cytoplasm; Membrane; Metal-binding; Nucleotide-binding; Protein transport; Reference proteome; Translocation; Transport; Zinc,Regulatory protein Sir1,,,,cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; protein import [GO:0017038]; protein targeting [GO:0006605],
ABS90135,,,,,,,
ABS90134,,,,,,,
ABS90072,,Cytochrome B6-F complex subunit 5,,,,cytochrome b6f complex [GO:0009512],
ABS89974,,,,,,,
ABS90138,,,,,,,
ABS89979,NADH-quinone oxidoreductase subunit D; Cell inner membrane; Cell membrane; Complete proteome; Membrane; NAD; Oxidoreductase; Quinone; Reference proteome; Transport; Ubiquinone,"Spermatogenesis-associated protein 19, mitochondrial",,,,"plasma membrane [GO:0005886]; NAD binding [GO:0051287]; oxidoreductase activity, acting on NAD(P)H [GO:0016651]; quinone binding [GO:0048038]; transport [GO:0006810]",
ABS89978,,Protein of unknown function (DUF1456),,,,,
ABS90012,,,,,,,
ABS90010,,,Prokaryotic membrane lipoprotein lipid attachment site profile,,,,
ABS90011,,,,,,,
ABS90075,,,,,,,
ABS90247,,,,,,,
ABS90246,Heterogeneous nuclear ribonucleoprotein A/B; 3D-structure; Acetylation; Alternative splicing; Complete proteome; Cytoplasm; Direct protein sequencing; Methylation; Nucleus; Phosphoprotein; Reference proteome; Repeat; RNA-binding,Prokaryotic lipoprotein-attachment site; 17 kDa common-antigen outer membrane protein; YqzL-like protein,Prokaryotic membrane lipoprotein lipid attachment site profile,,,"cytoplasm [GO:0005737]; intracellular ribonucleoprotein complex [GO:0030529]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase II transcription factor complex [GO:0090575]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; epithelial to mesenchymal transition [GO:0001837]; positive regulation of transcription, DNA-templated [GO:0045893]",
ABS90244,,,,,,,
ABS90243,FAD-dependent monooxygenase andE; FAD; Flavoprotein; Membrane; Oxidoreductase; Transmembrane; Transmembrane helix,,,,,integral component of membrane [GO:0016021]; FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]; terpenoid biosynthetic process [GO:0016114],
ABS90242,,Integral membrane protein DUF106,,,,membrane [GO:0016020],
ABS89976,,,,,,,
